ebin, xs
1.0000e-05, 1.2623e+02
1.0625e-05, 1.2246e+02
1.1250e-05, 1.1901e+02
1.1875e-05, 1.1583e+02
1.2500e-05, 1.1290e+02
1.3750e-05, 1.0765e+02
1.5000e-05, 1.0306e+02
1.6250e-05, 9.9021e+01
1.7500e-05, 9.5419e+01
1.8750e-05, 9.2183e+01
2.0000e-05, 8.9256e+01
2.1875e-05, 8.5345e+01
2.3750e-05, 8.1907e+01
2.5625e-05, 7.8853e+01
2.7500e-05, 7.6118e+01
2.9375e-05, 7.3648e+01
3.1250e-05, 7.1405e+01
3.3125e-05, 6.9354e+01
3.5000e-05, 6.7471e+01
3.8750e-05, 6.4123e+01
4.2500e-05, 6.1229e+01
4.6250e-05, 5.8694e+01
5.0000e-05, 5.6450e+01
5.3125e-05, 5.4765e+01
5.6250e-05, 5.3222e+01
5.9375e-05, 5.1802e+01
6.2500e-05, 5.0491e+01
6.8750e-05, 4.8141e+01
7.5000e-05, 4.6092e+01
8.1250e-05, 4.4283e+01
8.7500e-05, 4.2672e+01
9.3750e-05, 4.1226e+01
1.0000e-04, 3.9916e+01
1.0625e-04, 3.8725e+01
1.1250e-04, 3.7634e+01
1.1875e-04, 3.6630e+01
1.2500e-04, 3.5702e+01
1.3750e-04, 3.4041e+01
1.5000e-04, 3.2592e+01
1.6250e-04, 3.1313e+01
1.7500e-04, 3.0174e+01
1.8750e-04, 2.9151e+01
2.0000e-04, 2.8225e+01
2.1875e-04, 2.6988e+01
2.3750e-04, 2.5901e+01
2.5625e-04, 2.4936e+01
2.7500e-04, 2.4071e+01
2.9375e-04, 2.3290e+01
3.1250e-04, 2.2580e+01
3.3125e-04, 2.1932e+01
3.5000e-04, 2.1336e+01
3.8750e-04, 2.0278e+01
4.2500e-04, 1.9362e+01
4.6250e-04, 1.8561e+01
5.0000e-04, 1.7851e+01
5.3125e-04, 1.7318e+01
5.6250e-04, 1.6830e+01
5.9375e-04, 1.6381e+01
6.2500e-04, 1.5967e+01
6.8750e-04, 1.5224e+01
7.5000e-04, 1.4575e+01
8.1250e-04, 1.4004e+01
8.7500e-04, 1.3494e+01
9.3750e-04, 1.3037e+01
1.0000e-03, 1.2623e+01
1.0625e-03, 1.2246e+01
1.1250e-03, 1.1901e+01
1.1875e-03, 1.1583e+01
1.2500e-03, 1.1290e+01
1.3750e-03, 1.0765e+01
1.5000e-03, 1.0306e+01
1.6250e-03, 9.9021e+00
1.7500e-03, 9.5419e+00
1.8750e-03, 9.2184e+00
2.0000e-03, 8.9256e+00
2.1875e-03, 8.5346e+00
2.3750e-03, 8.1908e+00
2.5625e-03, 7.8854e+00
2.7500e-03, 7.6118e+00
2.9375e-03, 7.3649e+00
3.1250e-03, 7.1406e+00
3.3125e-03, 6.9355e+00
3.5000e-03, 6.7472e+00
3.8750e-03, 6.4124e+00
4.2500e-03, 6.1230e+00
